ID,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43
45,00000236,"LONGANIZA NAPOLITANA","1995-06-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-11-12 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-3.20000,"2017-10-03 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,NULL,"LONGANIZA NAPOLITANA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
46,00000237,"LONGANIZA CALABREZA","1995-06-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-11-05 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-8.85000,"2018-01-17 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,NULL,"LONGANIZA CALABREZA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
47,00000238,"SALAMIN PICADO FINO","1995-06-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-05 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-549.74000,"2018-03-29 00:00:00",0.00000,0.00000,"2020-02-05 14:48:31",0,0,0,4200,0,,"SALAMIN PICADO FINO",0.00000,0,0,1,,Bultos,0.00000,0,2
48,00000239,"SALAMIN PICADO GRUESO","1995-06-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-109.57000,"2017-06-16 00:00:00",0.00000,0.00000,"2020-02-05 14:48:31",0,0,0,4200,0,NULL,"SALAMIN PICADO GRUESO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
49,00000241,"MATAMBRE ARROLLADO","1995-06-16 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2012-03-02 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-6.70000,"2013-11-13 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,NULL,"MATAMBRE ARROLLADO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
50,00000243,"SALAMIN TIPO CASERO P.C.","1995-10-23 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-480.44000,"2018-04-18 00:00:00",0.00000,0.00000,"2020-02-05 14:48:31",0,0,0,4200,0,,"SALAMIN TIPO CASERO P.C.",0.00000,0,0,1,,Bultos,0.00000,0,2
51,00000246,"PALETA SANDWICHERA "303" X KG","1996-08-09 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-12-20 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-48.05000,"2017-12-06 00:00:00",0.00000,0.00000,"2020-02-05 14:48:32",0,0,0,4200,0,NULL,"PALETA SANDWICHERA "303" X KG",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
52,00000247,SOPRESATTA,"2012-08-11 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-06 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-25.60000,"2018-01-19 00:00:00",0.00000,0.00000,"2020-02-05 14:48:32",0,0,0,4200,0,NULL,SOPRESATTA,0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
53,00000248,"SALAMIN PORTE¥O P/GRUESO","2013-08-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-11-19 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,99,,202,0.00000,"2013-11-13 00:00:00",0.00000,0.00000,"2020-02-05 14:48:32",0,0,0,4200,0,,"SALAMIN PORTE¥O P/GRUESO",0.00000,0,0,1,,Bultos,0.00000,0,2
54,00000249,"SALAMIN PORTE¥O P/FINO","2013-08-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2018-04-07 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,99,,202,-5.10000,"2018-04-07 00:00:00",0.00000,0.00000,"2020-02-05 14:48:32",0,0,0,4200,0,,"SALAMIN PORTE¥O P/FINO",0.00000,0,0,1,,Bultos,0.00000,0,2
55,00000250,"SALAMIN BASTON","1997-01-17 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-05 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-6.04000,"2018-04-10 00:00:00",0.00000,0.00000,"2020-02-05 14:48:32",0,0,0,4200,0,NULL,"SALAMIN BASTON",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
56,00000251,"FIAMBRE SURTIDO ( 6 PIEZAS )","1998-10-19 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-30.75000,"2020-02-10 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,NULL,"FIAMBRE SURTIDO ( 6 PIEZAS )",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
57,00000252,"CHORIZOS SIN SAL","2007-12-19 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-08 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-60.00000,"2018-03-07 00:00:00",0.00000,0.00000,"2019-12-09 15:08:21",0,0,0,4100,0,NULL,"CHORIZOS SIN SAL",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
58,00000253,"FIAMBRE SURTIDO (3 PIEZAS)","2009-03-11 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-06 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-15.05000,"2018-03-03 00:00:00",0.00000,0.00000,"2019-12-18 14:16:40",0,0,0,4200,0,NULL,"FIAMBRE SURTIDO (3 PIEZAS)",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
59,00000254,FIAMBRE,"2009-03-11 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-01-30 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-6.00000,"2017-09-22 00:00:00",0.00000,0.00000,"2019-12-09 15:08:21",0,0,0,4200,0,NULL,FIAMBRE,0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
60,00000255,MILANESAS,"1997-06-18 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,99,,202,-128.35000,"2020-02-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:40",0,0,0,4200,0,,MILANESAS,0.00000,0,0,1,,Bultos,0.00000,0,2
61,00000256,"COMBO II ( FINO,GRUESO,ESPA.,NAPO,CALA,CASERITO)","2010-07-20 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-88.25000,"2019-08-12 00:00:00",0.00000,0.00000,"2020-02-05 14:48:32",0,0,0,4200,0,NULL,"COMBO II ( FINO,GRUESO,ESPA.,NAPO,CALA,CASERITO)",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
62,00000257,"COMBO I (MILAN,CANTIMPALO,SALAMIN)","2010-07-20 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2018-04-24 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-9.70000,"2016-01-15 00:00:00",0.00000,0.00000,"2019-12-18 14:16:40",0,0,0,4200,0,NULL,"COMBO I (MILAN,CANTIMPALO,SALAMIN)",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
